"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3603936111,"Ulster County, New York","Greene County, New York","1,245",+/-260
C4300US3603936119,"Westchester County, New York","Greene County, New York",65,+/-44
C4300US3604134003,"Bergen County, New Jersey","Hamilton County, New York",4,+/-18
C4300US3604136001,"Albany County, New York","Hamilton County, New York",25,+/-23
C4300US3604136005,"Bronx County, New York","Hamilton County, New York",4,+/-6
C4300US3604136027,"Dutchess County, New York","Hamilton County, New York",4,+/-18
C4300US3604136031,"Essex County, New York","Hamilton County, New York",10,+/-14
C4300US3604136033,"Franklin County, New York","Hamilton County, New York",20,+/-18
C4300US3604136035,"Fulton County, New York","Hamilton County, New York",315,+/-96
C4300US3604136041,"Hamilton County, New York","Hamilton County, New York","1,535",+/-263
C4300US3604136043,"Herkimer County, New York","Hamilton County, New York",10,+/-12
C4300US3604136057,"Montgomery County, New York","Hamilton County, New York",35,+/-23
C4300US3604136065,"Oneida County, New York","Hamilton County, New York",10,+/-17
C4300US3604136089,"St. Lawrence County, New York","Hamilton County, New York",4,+/-3
C4300US3604136091,"Saratoga County, New York","Hamilton County, New York",10,+/-16
C4300US3604136093,"Schenectady County, New York","Hamilton County, New York",15,+/-9
C4300US3604136095,"Schoharie County, New York","Hamilton County, New York",15,+/-14
C4300US3604136113,"Warren County, New York","Hamilton County, New York",125,+/-75
C4300US3604334017,"Hudson County, New Jersey","Herkimer County, New York",30,+/-44
C4300US3604334039,"Union County, New Jersey","Herkimer County, New York",15,+/-23
C4300US3604336001,"Albany County, New York","Herkimer County, New York",90,+/-33
C4300US3604336007,"Broome County, New York","Herkimer County, New York",15,+/-19
C4300US3604336011,"Cayuga County, New York","Herkimer County, New York",10,+/-14
C4300US3604336017,"Chenango County, New York","Herkimer County, New York",45,+/-39
C4300US3604336023,"Cortland County, New York","Herkimer County, New York",15,+/-23
C4300US3604336025,"Delaware County, New York","Herkimer County, New York",20,+/-30
C4300US3604336031,"Essex County, New York","Herkimer County, New York",15,+/-14
C4300US3604336035,"Fulton County, New York","Herkimer County, New York",630,+/-176
C4300US3604336041,"Hamilton County, New York","Herkimer County, New York",10,+/-11
C4300US3604336043,"Herkimer County, New York","Herkimer County, New York","15,175",+/-779
C4300US3604336047,"Kings County, New York","Herkimer County, New York",60,+/-51
C4300US3604336053,"Madison County, New York","Herkimer County, New York",150,+/-105
C4300US3604336057,"Montgomery County, New York","Herkimer County, New York",600,+/-150
C4300US3604336059,"Nassau County, New York","Herkimer County, New York",20,+/-20
C4300US3604336061,"New York County, New York","Herkimer County, New York",10,+/-13
C4300US3604336063,"Niagara County, New York","Herkimer County, New York",10,+/-13
C4300US3604336065,"Oneida County, New York","Herkimer County, New York","8,815",+/-565
C4300US3604336067,"Onondaga County, New York","Herkimer County, New York",290,+/-104
C4300US3604336069,"Ontario County, New York","Herkimer County, New York",4,+/-6
C4300US3604336075,"Oswego County, New York","Herkimer County, New York",4,+/-4
C4300US3604336077,"Otsego County, New York","Herkimer County, New York",990,+/-197
C4300US3604336083,"Rensselaer County, New York","Herkimer County, New York",55,+/-36
C4300US3604336091,"Saratoga County, New York","Herkimer County, New York",30,+/-29
C4300US3604336093,"Schenectady County, New York","Herkimer County, New York",80,+/-52
C4300US3604336095,"Schoharie County, New York","Herkimer County, New York",90,+/-46
C4300US3604336103,"Suffolk County, New York","Herkimer County, New York",30,+/-23
C4300US3604336109,"Tompkins County, New York","Herkimer County, New York",25,+/-23
C4300US3604336113,"Warren County, New York","Herkimer County, New York",4,+/-3
C4300US3604336115,"Washington County, New York","Herkimer County, New York",30,+/-38
C4300US3604336119,"Westchester County, New York","Herkimer County, New York",4,+/-30
C4300US3604534023,"Middlesex County, New Jersey","Jefferson County, New York",20,+/-26
C4300US3604534027,"Morris County, New Jersey","Jefferson County, New York",4,+/-7
C4300US3604536001,"Albany County, New York","Jefferson County, New York",40,+/-33
C4300US3604536005,"Bronx County, New York","Jefferson County, New York",4,+/-6
C4300US3604536007,"Broome County, New York","Jefferson County, New York",25,+/-30
C4300US3604536009,"Cattaraugus County, New York","Jefferson County, New York",4,+/-3
C4300US3604536011,"Cayuga County, New York","Jefferson County, New York",10,+/-13
C4300US3604536019,"Clinton County, New York","Jefferson County, New York",4,+/-30
C4300US3604536023,"Cortland County, New York","Jefferson County, New York",20,+/-35
C4300US3604536029,"Erie County, New York","Jefferson County, New York",10,+/-14
C4300US3604536031,"Essex County, New York","Jefferson County, New York",10,+/-13
C4300US3604536033,"Franklin County, New York","Jefferson County, New York",4,+/-3
C4300US3604536039,"Greene County, New York","Jefferson County, New York",4,+/-9
C4300US3604536041,"Hamilton County, New York","Jefferson County, New York",4,+/-9
C4300US3604536045,"Jefferson County, New York","Jefferson County, New York","50,615","+/-1,002"
C4300US3604536047,"Kings County, New York","Jefferson County, New York",140,+/-141
C4300US3604536049,"Lewis County, New York","Jefferson County, New York",675,+/-209
C4300US3604536055,"Monroe County, New York","Jefferson County, New York",50,+/-41
C4300US3604536059,"Nassau County, New York","Jefferson County, New York",10,+/-14
C4300US3604536061,"New York County, New York","Jefferson County, New York",15,+/-27
C4300US3604536065,"Oneida County, New York","Jefferson County, New York",155,+/-74
C4300US3604536067,"Onondaga County, New York","Jefferson County, New York",690,+/-145
C4300US3604536069,"Ontario County, New York","Jefferson County, New York",4,+/-30
C4300US3604536075,"Oswego County, New York","Jefferson County, New York",320,+/-112
C4300US3604536079,"Putnam County, New York","Jefferson County, New York",4,+/-2
C4300US3604536081,"Queens County, New York","Jefferson County, New York",4,+/-7
C4300US3604536089,"St. Lawrence County, New York","Jefferson County, New York",680,+/-119
C4300US3604536091,"Saratoga County, New York","Jefferson County, New York",15,+/-27
C4300US3604536099,"Seneca County, New York","Jefferson County, New York",4,+/-3
C4300US3604536109,"Tompkins County, New York","Jefferson County, New York",10,+/-11
C4300US3604734001,"Atlantic County, New Jersey","Kings County, New York",130,+/-59
C4300US3604734003,"Bergen County, New Jersey","Kings County, New York","1,535",+/-275
C4300US3604734005,"Burlington County, New Jersey","Kings County, New York",85,+/-61
C4300US3604734007,"Camden County, New Jersey","Kings County, New York",60,+/-49
C4300US3604734011,"Cumberland County, New Jersey","Kings County, New York",90,+/-102
C4300US3604734013,"Essex County, New Jersey","Kings County, New York","2,200",+/-287
C4300US3604734017,"Hudson County, New Jersey","Kings County, New York","6,265",+/-597
C4300US3604734019,"Hunterdon County, New Jersey","Kings County, New York",20,+/-22
C4300US3604734021,"Mercer County, New Jersey","Kings County, New York",345,+/-116
C4300US3604734023,"Middlesex County, New Jersey","Kings County, New York","2,335",+/-517
C4300US3604734025,"Monmouth County, New Jersey","Kings County, New York",555,+/-204
C4300US3604734027,"Morris County, New Jersey","Kings County, New York","1,105",+/-383
C4300US3604734029,"Ocean County, New Jersey","Kings County, New York",355,+/-195
C4300US3604734031,"Passaic County, New Jersey","Kings County, New York",710,+/-186
C4300US3604734033,"Salem County, New Jersey","Kings County, New York",15,+/-22
C4300US3604734035,"Somerset County, New Jersey","Kings County, New York",630,+/-305
C4300US3604734039,"Union County, New Jersey","Kings County, New York","1,560",+/-241
C4300US3604736001,"Albany County, New York","Kings County, New York",320,+/-175
C4300US3604736005,"Bronx County, New York","Kings County, New York","12,080",+/-895
C4300US3604736007,"Broome County, New York","Kings County, New York",15,+/-25
C4300US3604736009,"Cattaraugus County, New York","Kings County, New York",4,+/-6
C4300US3604736025,"Delaware County, New York","Kings County, New York",40,+/-54
C4300US3604736027,"Dutchess County, New York","Kings County, New York",250,+/-125
C4300US3604736029,"Erie County, New York","Kings County, New York",75,+/-51
C4300US3604736031,"Essex County, New York","Kings County, New York",75,+/-50
C4300US3604736033,"Franklin County, New York","Kings County, New York",20,+/-23
C4300US3604736039,"Greene County, New York","Kings County, New York",65,+/-66
C4300US3604736045,"Jefferson County, New York","Kings County, New York",10,+/-15
C4300US3604736047,"Kings County, New York","Kings County, New York","671,420","+/-5,046"
C4300US3604736049,"Lewis County, New York","Kings County, New York",20,+/-39
C4300US3604736055,"Monroe County, New York","Kings County, New York",45,+/-57
C4300US3604736059,"Nassau County, New York","Kings County, New York","10,830",+/-724
C4300US3604736061,"New York County, New York","Kings County, New York","432,345","+/-4,920"
C4300US3604736065,"Oneida County, New York","Kings County, New York",20,+/-22
C4300US3604736067,"Onondaga County, New York","Kings County, New York",95,+/-68
C4300US3604736071,"Orange County, New York","Kings County, New York",135,+/-87
C4300US3604736077,"Otsego County, New York","Kings County, New York",20,+/-29
C4300US3604736079,"Putnam County, New York","Kings County, New York",65,+/-71
C4300US3604736081,"Queens County, New York","Kings County, New York","66,260","+/-2,424"
C4300US3604736085,"Richmond County, New York","Kings County, New York","6,545",+/-678
C4300US3604736087,"Rockland County, New York","Kings County, New York",655,+/-219
C4300US3604736091,"Saratoga County, New York","Kings County, New York",20,+/-20
C4300US3604736093,"Schenectady County, New York","Kings County, New York",45,+/-54
C4300US3604736103,"Suffolk County, New York","Kings County, New York","3,170",+/-451
C4300US3604736105,"Sullivan County, New York","Kings County, New York",150,+/-90
C4300US3604736109,"Tompkins County, New York","Kings County, New York",4,+/-11
C4300US3604736111,"Ulster County, New York","Kings County, New York",40,+/-45
C4300US3604736113,"Warren County, New York","Kings County, New York",10,+/-15
C4300US3604736115,"Washington County, New York","Kings County, New York",45,+/-54
C4300US3604736117,"Wayne County, New York","Kings County, New York",25,+/-29
C4300US3604736119,"Westchester County, New York","Kings County, New York","2,860",+/-395
C4300US3604934023,"Middlesex County, New Jersey","Lewis County, New York",4,+/-7
C4300US3604936001,"Albany County, New York","Lewis County, New York",25,+/-25
C4300US3604936009,"Cattaraugus County, New York","Lewis County, New York",4,+/-13
C4300US3604936011,"Cayuga County, New York","Lewis County, New York",20,+/-23
C4300US3604936015,"Chemung County, New York","Lewis County, New York",15,+/-23
C4300US3604936019,"Clinton County, New York","Lewis County, New York",4,+/-11
C4300US3604936027,"Dutchess County, New York","Lewis County, New York",4,+/-5
C4300US3604936033,"Franklin County, New York","Lewis County, New York",25,+/-21
C4300US3604936035,"Fulton County, New York","Lewis County, New York",10,+/-13
C4300US3604936041,"Hamilton County, New York","Lewis County, New York",10,+/-11
C4300US3604936043,"Herkimer County, New York","Lewis County, New York",90,+/-48
C4300US3604936045,"Jefferson County, New York","Lewis County, New York","2,380",+/-227
C4300US3604936049,"Lewis County, New York","Lewis County, New York","7,670",+/-355
C4300US3604936053,"Madison County, New York","Lewis County, New York",45,+/-38
C4300US3604936055,"Monroe County, New York","Lewis County, New York",10,+/-12
C4300US3604936063,"Niagara County, New York","Lewis County, New York",4,+/-4
C4300US3604936065,"Oneida County, New York","Lewis County, New York","1,065",+/-121
C4300US3604936067,"Onondaga County, New York","Lewis County, New York",160,+/-40
C4300US3604936075,"Oswego County, New York","Lewis County, New York",25,+/-15
C4300US3604936083,"Rensselaer County, New York","Lewis County, New York",15,+/-19
C4300US3604936089,"St. Lawrence County, New York","Lewis County, New York",135,+/-56
C4300US3604936091,"Saratoga County, New York","Lewis County, New York",10,+/-13
C4300US3604936095,"Schoharie County, New York","Lewis County, New York",4,+/-11
C4300US3604936105,"Sullivan County, New York","Lewis County, New York",10,+/-12
C4300US3604936117,"Wayne County, New York","Lewis County, New York",4,+/-3
C4300US3605134003,"Bergen County, New Jersey","Livingston County, New York",4,+/-30
C4300US3605136003,"Allegany County, New York","Livingston County, New York",60,+/-41
C4300US3605136011,"Cayuga County, New York","Livingston County, New York",10,+/-14
C4300US3605136013,"Chautauqua County, New York","Livingston County, New York",15,+/-25
C4300US3605136015,"Chemung County, New York","Livingston County, New York",30,+/-35
C4300US3605136027,"Dutchess County, New York","Livingston County, New York",4,+/-22
C4300US3605136029,"Erie County, New York","Livingston County, New York",265,+/-114
C4300US3605136035,"Fulton County, New York","Livingston County, New York",15,+/-25
C4300US3605136037,"Genesee County, New York","Livingston County, New York",595,+/-138
C4300US3605136045,"Jefferson County, New York","Livingston County, New York",10,+/-17
C4300US3605136051,"Livingston County, New York","Livingston County, New York","15,880",+/-712
C4300US3605136053,"Madison County, New York","Livingston County, New York",4,+/-6
C4300US3605136055,"Monroe County, New York","Livingston County, New York","8,415",+/-609
C4300US3605136063,"Niagara County, New York","Livingston County, New York",4,+/-7
C4300US3605136065,"Oneida County, New York","Livingston County, New York",4,+/-30
C4300US3605136067,"Onondaga County, New York","Livingston County, New York",10,+/-15
C4300US3605136069,"Ontario County, New York","Livingston County, New York",890,+/-158
C4300US3605136073,"Orleans County, New York","Livingston County, New York",45,+/-44
C4300US3605136075,"Oswego County, New York","Livingston County, New York",40,+/-55
C4300US3605136081,"Queens County, New York","Livingston County, New York",45,+/-36
C4300US3605136083,"Rensselaer County, New York","Livingston County, New York",4,+/-10
C4300US3605136087,"Rockland County, New York","Livingston County, New York",80,+/-68
C4300US3605136101,"Steuben County, New York","Livingston County, New York",805,+/-200
C4300US3605136103,"Suffolk County, New York","Livingston County, New York",55,+/-62
C4300US3605136109,"Tompkins County, New York","Livingston County, New York",15,+/-24
C4300US3605136111,"Ulster County, New York","Livingston County, New York",4,+/-7
C4300US3605136117,"Wayne County, New York","Livingston County, New York",35,+/-28
C4300US3605136121,"Wyoming County, New York","Livingston County, New York",640,+/-155
C4300US3605136123,"Yates County, New York","Livingston County, New York",15,+/-15
C4300US3605336001,"Albany County, New York","Madison County, New York",30,+/-25
C4300US3605336007,"Broome County, New York","Madison County, New York",45,+/-28
C4300US3605336011,"Cayuga County, New York","Madison County, New York",125,+/-82
C4300US3605336015,"Chemung County, New York","Madison County, New York",10,+/-13
C4300US3605336017,"Chenango County, New York","Madison County, New York",550,+/-130
C4300US3605336023,"Cortland County, New York","Madison County, New York",190,+/-59
C4300US3605336025,"Delaware County, New York","Madison County, New York",15,+/-14
C4300US3605336027,"Dutchess County, New York","Madison County, New York",10,+/-13
C4300US3605336029,"Erie County, New York","Madison County, New York",4,+/-11
C4300US3605336039,"Greene County, New York","Madison County, New York",4,+/-30
C4300US3605336043,"Herkimer County, New York","Madison County, New York",180,+/-76
C4300US3605336045,"Jefferson County, New York","Madison County, New York",20,+/-32
C4300US3605336049,"Lewis County, New York","Madison County, New York",10,+/-14
C4300US3605336053,"Madison County, New York","Madison County, New York","15,275",+/-709
C4300US3605336055,"Monroe County, New York","Madison County, New York",35,+/-37
C4300US3605336057,"Montgomery County, New York","Madison County, New York",4,+/-17
C4300US3605336061,"New York County, New York","Madison County, New York",30,+/-29
C4300US3605336065,"Oneida County, New York","Madison County, New York","5,360",+/-539
C4300US3605336067,"Onondaga County, New York","Madison County, New York","8,275",+/-617
C4300US3605336071,"Orange County, New York","Madison County, New York",50,+/-37
C4300US3605336075,"Oswego County, New York","Madison County, New York",165,+/-171
C4300US3605336077,"Otsego County, New York","Madison County, New York",155,+/-67
C4300US3605336089,"St. Lawrence County, New York","Madison County, New York",10,+/-14
C4300US3605336091,"Saratoga County, New York","Madison County, New York",20,+/-32
C4300US3605336099,"Seneca County, New York","Madison County, New York",10,+/-14
C4300US3605336105,"Sullivan County, New York","Madison County, New York",4,+/-11
C4300US3605336109,"Tompkins County, New York","Madison County, New York",15,+/-14
C4300US3605336117,"Wayne County, New York","Madison County, New York",15,+/-26
C4300US3605336119,"Westchester County, New York","Madison County, New York",45,+/-70
C4300US3605534003,"Bergen County, New Jersey","Monroe County, New York",150,+/-155
C4300US3605534005,"Burlington County, New Jersey","Monroe County, New York",10,+/-21
C4300US3605534013,"Essex County, New Jersey","Monroe County, New York",4,+/-18
C4300US3605534017,"Hudson County, New Jersey","Monroe County, New York",4,+/-3
C4300US3605534025,"Monmouth County, New Jersey","Monroe County, New York",10,+/-13
C4300US3605536001,"Albany County, New York","Monroe County, New York",50,+/-43
C4300US3605536003,"Allegany County, New York","Monroe County, New York",75,+/-55
C4300US3605536007,"Broome County, New York","Monroe County, New York",55,+/-52
C4300US3605536009,"Cattaraugus County, New York","Monroe County, New York",75,+/-67
C4300US3605536011,"Cayuga County, New York","Monroe County, New York",70,+/-46
C4300US3605536013,"Chautauqua County, New York","Monroe County, New York",25,+/-34
C4300US3605536015,"Chemung County, New York","Monroe County, New York",20,+/-29
C4300US3605536017,"Chenango County, New York","Monroe County, New York",10,+/-15
C4300US3605536019,"Clinton County, New York","Monroe County, New York",55,+/-62
C4300US3605536023,"Cortland County, New York","Monroe County, New York",20,+/-25
C4300US3605536029,"Erie County, New York","Monroe County, New York","1,180",+/-325
C4300US3605536037,"Genesee County, New York","Monroe County, New York","1,770",+/-460
C4300US3605536041,"Hamilton County, New York","Monroe County, New York",10,+/-17
C4300US3605536043,"Herkimer County, New York","Monroe County, New York",15,+/-25
C4300US3605536045,"Jefferson County, New York","Monroe County, New York",10,+/-16
C4300US3605536047,"Kings County, New York","Monroe County, New York",185,+/-175
C4300US3605536051,"Livingston County, New York","Monroe County, New York","2,365",+/-397
C4300US3605536053,"Madison County, New York","Monroe County, New York",10,+/-15
C4300US3605536055,"Monroe County, New York","Monroe County, New York","341,090","+/-3,365"
C4300US3605536059,"Nassau County, New York","Monroe County, New York",25,+/-25
C4300US3605536061,"New York County, New York","Monroe County, New York",170,+/-137
C4300US3605536063,"Niagara County, New York","Monroe County, New York",310,+/-113
C4300US3605536067,"Onondaga County, New York","Monroe County, New York",395,+/-106
C4300US3605536069,"Ontario County, New York","Monroe County, New York","8,505",+/-693
C4300US3605536071,"Orange County, New York","Monroe County, New York",50,+/-68
C4300US3605536073,"Orleans County, New York","Monroe County, New York",915,+/-241
C4300US3605536075,"Oswego County, New York","Monroe County, New York",95,+/-69
C4300US3605536081,"Queens County, New York","Monroe County, New York",35,+/-36
C4300US3605536091,"Saratoga County, New York","Monroe County, New York",75,+/-52
C4300US3605536093,"Schenectady County, New York","Monroe County, New York",15,+/-26
C4300US3605536097,"Schuyler County, New York","Monroe County, New York",20,+/-28
C4300US3605536099,"Seneca County, New York","Monroe County, New York",330,+/-133
C4300US3605536101,"Steuben County, New York","Monroe County, New York",255,+/-124
C4300US3605536103,"Suffolk County, New York","Monroe County, New York",50,+/-43
C4300US3605536105,"Sullivan County, New York","Monroe County, New York",20,+/-26
C4300US3605536107,"Tioga County, New York","Monroe County, New York",4,+/-14
C4300US3605536109,"Tompkins County, New York","Monroe County, New York",100,+/-63
C4300US3605536117,"Wayne County, New York","Monroe County, New York","5,220",+/-742
C4300US3605536119,"Westchester County, New York","Monroe County, New York",15,+/-17
C4300US3605536121,"Wyoming County, New York","Monroe County, New York",200,+/-151
C4300US3605536123,"Yates County, New York","Monroe County, New York",110,+/-55
C4300US3605734013,"Essex County, New Jersey","Montgomery County, New York",10,+/-14
C4300US3605734039,"Union County, New Jersey","Montgomery County, New York",10,+/-15
C4300US3605736001,"Albany County, New York","Montgomery County, New York","2,155",+/-372
C4300US3605736005,"Bronx County, New York","Montgomery County, New York",4,+/-6
C4300US3605736007,"Broome County, New York","Montgomery County, New York",4,+/-9
C4300US3605736017,"Chenango County, New York","Montgomery County, New York",30,+/-32
C4300US3605736025,"Delaware County, New York","Montgomery County, New York",4,+/-9
C4300US3605736027,"Dutchess County, New York","Montgomery County, New York",4,+/-13
C4300US3605736029,"Erie County, New York","Montgomery County, New York",4,+/-22
C4300US3605736035,"Fulton County, New York","Montgomery County, New York","2,210",+/-238
C4300US3605736039,"Greene County, New York","Montgomery County, New York",20,+/-18
C4300US3605736041,"Hamilton County, New York","Montgomery County, New York",15,+/-21
C4300US3605736043,"Herkimer County, New York","Montgomery County, New York",385,+/-101
C4300US3605736047,"Kings County, New York","Montgomery County, New York",25,+/-20
C4300US3605736057,"Montgomery County, New York","Montgomery County, New York","12,215",+/-598
C4300US3605736061,"New York County, New York","Montgomery County, New York",10,+/-14
C4300US3605736065,"Oneida County, New York","Montgomery County, New York",110,+/-57
C4300US3605736071,"Orange County, New York","Montgomery County, New York",15,+/-17
C4300US3605736077,"Otsego County, New York","Montgomery County, New York",230,+/-116
C4300US3605736083,"Rensselaer County, New York","Montgomery County, New York",380,+/-146
C4300US3605736091,"Saratoga County, New York","Montgomery County, New York",710,+/-163
C4300US3605736093,"Schenectady County, New York","Montgomery County, New York","1,960",+/-320
C4300US3605736095,"Schoharie County, New York","Montgomery County, New York",520,+/-110
C4300US3605736103,"Suffolk County, New York","Montgomery County, New York",4,+/-6
C4300US3605736113,"Warren County, New York","Montgomery County, New York",75,+/-67
C4300US3605736115,"Washington County, New York","Montgomery County, New York",10,+/-22
C4300US3605934003,"Bergen County, New Jersey","Nassau County, New York",370,+/-113
C4300US3605934005,"Burlington County, New Jersey","Nassau County, New York",35,+/-32
C4300US3605934013,"Essex County, New Jersey","Nassau County, New York",390,+/-141
C4300US3605934017,"Hudson County, New Jersey","Nassau County, New York","1,335",+/-240
C4300US3605934021,"Mercer County, New Jersey","Nassau County, New York",30,+/-38
C4300US3605934023,"Middlesex County, New Jersey","Nassau County, New York",145,+/-82
C4300US3605934025,"Monmouth County, New Jersey","Nassau County, New York",45,+/-43
C4300US3605934027,"Morris County, New Jersey","Nassau County, New York",115,+/-77
C4300US3605934031,"Passaic County, New Jersey","Nassau County, New York",135,+/-78
C4300US3605934035,"Somerset County, New Jersey","Nassau County, New York",45,+/-31
C4300US3605934039,"Union County, New Jersey","Nassau County, New York",160,+/-135
C4300US3605936001,"Albany County, New York","Nassau County, New York",35,+/-55
C4300US3605936005,"Bronx County, New York","Nassau County, New York","6,965",+/-659
C4300US3605936007,"Broome County, New York","Nassau County, New York",10,+/-15
C4300US3605936019,"Clinton County, New York","Nassau County, New York",30,+/-48
C4300US3605936021,"Columbia County, New York","Nassau County, New York",10,+/-13
C4300US3605936023,"Cortland County, New York","Nassau County, New York",15,+/-24
C4300US3605936025,"Delaware County, New York","Nassau County, New York",10,+/-13
C4300US3605936027,"Dutchess County, New York","Nassau County, New York",95,+/-61
C4300US3605936029,"Erie County, New York","Nassau County, New York",75,+/-67
C4300US3605936031,"Essex County, New York","Nassau County, New York",35,+/-38
C4300US3605936037,"Genesee County, New York","Nassau County, New York",4,+/-12
C4300US3605936039,"Greene County, New York","Nassau County, New York",50,+/-56
C4300US3605936041,"Hamilton County, New York","Nassau County, New York",15,+/-27
C4300US3605936047,"Kings County, New York","Nassau County, New York","25,140","+/-1,390"
C4300US3605936051,"Livingston County, New York","Nassau County, New York",15,+/-31
C4300US3605936055,"Monroe County, New York","Nassau County, New York",45,+/-44
C4300US3605936059,"Nassau County, New York","Nassau County, New York","414,140","+/-4,092"
C4300US3605936061,"New York County, New York","Nassau County, New York","93,500","+/-2,362"
C4300US3605936065,"Oneida County, New York","Nassau County, New York",40,+/-46
C4300US3605936067,"Onondaga County, New York","Nassau County, New York",20,+/-26
C4300US3605936071,"Orange County, New York","Nassau County, New York",150,+/-69
C4300US3605936075,"Oswego County, New York","Nassau County, New York",30,+/-47
C4300US3605936079,"Putnam County, New York","Nassau County, New York",55,+/-53
C4300US3605936081,"Queens County, New York","Nassau County, New York","76,285","+/-2,214"
C4300US3605936083,"Rensselaer County, New York","Nassau County, New York",515,+/-178
C4300US3605936085,"Richmond County, New York","Nassau County, New York",790,+/-227
C4300US3605936087,"Rockland County, New York","Nassau County, New York",440,+/-189
C4300US3605936091,"Saratoga County, New York","Nassau County, New York",40,+/-36
C4300US3605936093,"Schenectady County, New York","Nassau County, New York",20,+/-23
C4300US3605936103,"Suffolk County, New York","Nassau County, New York","59,985","+/-2,110"
C4300US3605936105,"Sullivan County, New York","Nassau County, New York",15,+/-18
C4300US3605936109,"Tompkins County, New York","Nassau County, New York",45,+/-52
C4300US3605936111,"Ulster County, New York","Nassau County, New York",10,+/-14
C4300US3605936117,"Wayne County, New York","Nassau County, New York",4,+/-10
C4300US3605936119,"Westchester County, New York","Nassau County, New York","3,465",+/-441
C4300US3606134003,"Bergen County, New Jersey","New York County, New York","3,745",+/-517
C4300US3606134005,"Burlington County, New Jersey","New York County, New York",70,+/-79
C4300US3606134007,"Camden County, New Jersey","New York County, New York",70,+/-113
C4300US3606134011,"Cumberland County, New Jersey","New York County, New York",45,+/-65
C4300US3606134013,"Essex County, New Jersey","New York County, New York","3,055",+/-507
C4300US3606134015,"Gloucester County, New Jersey","New York County, New York",40,+/-68
C4300US3606134017,"Hudson County, New Jersey","New York County, New York","6,515",+/-806
C4300US3606134019,"Hunterdon County, New Jersey","New York County, New York",55,+/-65
C4300US3606134021,"Mercer County, New Jersey","New York County, New York",455,+/-243
C4300US3606134023,"Middlesex County, New Jersey","New York County, New York",940,+/-313
C4300US3606134025,"Monmouth County, New Jersey","New York County, New York",125,+/-138
C4300US3606134027,"Morris County, New Jersey","New York County, New York","1,200",+/-364
C4300US3606134029,"Ocean County, New Jersey","New York County, New York",20,+/-37
C4300US3606134031,"Passaic County, New Jersey","New York County, New York",840,+/-380
C4300US3606134035,"Somerset County, New Jersey","New York County, New York",400,+/-171
C4300US3606134037,"Sussex County, New Jersey","New York County, New York",45,+/-52
C4300US3606134039,"Union County, New Jersey","New York County, New York","1,070",+/-319
C4300US3606134041,"Warren County, New Jersey","New York County, New York",215,+/-149
C4300US3606136001,"Albany County, New York","New York County, New York",165,+/-94
C4300US3606136005,"Bronx County, New York","New York County, New York","29,230","+/-1,931"
C4300US3606136013,"Chautauqua County, New York","New York County, New York",10,+/-15
C4300US3606136015,"Chemung County, New York","New York County, New York",30,+/-45
C4300US3606136017,"Chenango County, New York","New York County, New York",25,+/-40
C4300US3606136019,"Clinton County, New York","New York County, New York",15,+/-23
C4300US3606136027,"Dutchess County, New York","New York County, New York",160,+/-113
C4300US3606136029,"Erie County, New York","New York County, New York",130,+/-106
C4300US3606136037,"Genesee County, New York","New York County, New York",20,+/-38
C4300US3606136043,"Herkimer County, New York","New York County, New York",15,+/-22
C4300US3606136047,"Kings County, New York","New York County, New York","27,405","+/-1,822"
C4300US3606136055,"Monroe County, New York","New York County, New York",65,+/-66
C4300US3606136057,"Montgomery County, New York","New York County, New York",15,+/-23
C4300US3606136059,"Nassau County, New York","New York County, New York","3,635",+/-778
C4300US3606136061,"New York County, New York","New York County, New York","764,925","+/-6,754"
C4300US3606136065,"Oneida County, New York","New York County, New York",75,+/-77
C4300US3606136067,"Onondaga County, New York","New York County, New York",200,+/-232
C4300US3606136071,"Orange County, New York","New York County, New York",375,+/-156
C4300US3606136077,"Otsego County, New York","New York County, New York",30,+/-35
C4300US3606136079,"Putnam County, New York","New York County, New York",140,+/-119
C4300US3606136081,"Queens County, New York","New York County, New York","18,150","+/-1,350"
C4300US3606136083,"Rensselaer County, New York","New York County, New York",4,+/-10
C4300US3606136085,"Richmond County, New York","New York County, New York",900,+/-290
C4300US3606136087,"Rockland County, New York","New York County, New York","1,450",+/-551
C4300US3606136091,"Saratoga County, New York","New York County, New York",35,+/-54
C4300US3606136103,"Suffolk County, New York","New York County, New York","1,100",+/-283
C4300US3606136105,"Sullivan County, New York","New York County, New York",85,+/-92
C4300US3606136109,"Tompkins County, New York","New York County, New York",40,+/-51
C4300US3606136111,"Ulster County, New York","New York County, New York",400,+/-507
C4300US3606136113,"Warren County, New York","New York County, New York",20,+/-33
C4300US3606136115,"Washington County, New York","New York County, New York",25,+/-45
C4300US3606136119,"Westchester County, New York","New York County, New York","8,715","+/-1,033"
C4300US3606336005,"Bronx County, New York","Niagara County, New York",4,+/-11
C4300US3606336009,"Cattaraugus County, New York","Niagara County, New York",15,+/-15
C4300US3606336013,"Chautauqua County, New York","Niagara County, New York",50,+/-40
C4300US3606336027,"Dutchess County, New York","Niagara County, New York",4,+/-11
C4300US3606336029,"Erie County, New York","Niagara County, New York","36,025","+/-1,068"
C4300US3606336037,"Genesee County, New York","Niagara County, New York",305,+/-113
C4300US3606336053,"Madison County, New York","Niagara County, New York",65,+/-65
